Name,Unit,Start_time,Time_increment,Length
General_Fz,N,1904/1/1 8:00:00,1.000000E-3,30000
General_COPx,mm,1904/1/1 8:00:00,1.000000E-3,30000
General_COPy,mm,1904/1/1 8:00:00,1.000000E-3,30000

General_Fz,General_COPx,General_COPy
8.253805E+2,-3.330651E+1,-4.181848E+1
8.279590E+2,-3.370654E+1,-4.176752E+1
8.276378E+2,-3.362024E+1,-4.136483E+1
8.279599E+2,-3.321549E+1,-4.190625E+1
8.300557E+2,-3.368091E+1,-4.143829E+1
8.290865E+2,-3.372980E+1,-4.196356E+1
8.303770E+2,-3.398043E+1,-4.166513E+1
8.303771E+2,-3.357652E+1,-4.198007E+1
8.318271E+2,-3.397861E+1,-4.186749E+1
8.306990E+2,-3.396309E+1,-4.171689E+1
8.318276E+2,-3.366489E+1,-4.202292E+1
8.326317E+2,-3.439690E+1,-4.200538E+1
8.313430E+2,-3.355388E+1,-4.232289E+1
8.335994E+2,-3.436607E+1,-4.186934E+1
8.344081E+2,-3.397369E+1,-4.147515E+1
8.350504E+2,-3.395036E+1,-4.208766E+1
8.344052E+2,-3.428617E+1,-4.204316E+1
8.344052E+2,-3.429370E+1,-4.202980E+1
8.363402E+2,-3.390932E+1,-4.218660E+1
8.363395E+2,-3.431255E+1,-4.216968E+1
8.356938E+2,-3.425019E+1,-4.252093E+1
8.369819E+2,-3.448959E+1,-4.268993E+1
8.364991E+2,-3.475476E+1,-4.219027E+1
8.381110E+2,-3.489724E+1,-4.227439E+1
8.385957E+2,-3.433614E+1,-4.228065E+1
8.385945E+2,-3.453614E+1,-4.251922E+1
8.381113E+2,-3.471024E+1,-4.226290E+1
8.385931E+2,-3.493982E+1,-4.259993E+1
8.397205E+2,-3.514966E+1,-4.272312E+1
8.387551E+2,-3.458688E+1,-4.261119E+1
8.387543E+2,-3.489074E+1,-4.268257E+1
8.389159E+2,-3.474716E+1,-4.263767E+1
8.392368E+2,-3.522403E+1,-4.278461E+1
8.389141E+2,-3.523928E+1,-4.278957E+1
8.402044E+2,-3.509432E+1,-4.264289E+1
8.402042E+2,-3.489665E+1,-4.288671E+1
8.392363E+2,-3.544085E+1,-4.276566E+1
8.390745E+2,-3.519561E+1,-4.305435E+1
8.384299E+2,-3.513058E+1,-4.308398E+1
8.390745E+2,-3.519561E+1,-4.305435E+1
8.384299E+2,-3.513058E+1,-4.308398E+1
8.382685E+2,-3.539094E+1,-4.280914E+1
8.402017E+2,-3.542007E+1,-4.327654E+1
8.393950E+2,-3.569855E+1,-4.326470E+1
8.398782E+2,-3.563913E+1,-4.344320E+1
8.408481E+2,-3.519924E+1,-4.306532E+1
8.402010E+2,-3.563276E+1,-4.327260E+1
8.411666E+2,-3.599240E+1,-4.361036E+1
8.390706E+2,-3.583844E+1,-4.374480E+1
8.408436E+2,-3.571627E+1,-4.395119E+1
8.408450E+2,-3.552444E+1,-4.370578E+1
8.398781E+2,-3.556547E+1,-4.350479E+1
8.416498E+2,-3.575038E+1,-4.385346E+1
8.395535E+2,-3.579392E+1,-4.399421E+1
8.401986E+2,-3.585896E+1,-4.395303E+1
8.397135E+2,-3.563535E+1,-4.449880E+1
8.410046E+2,-3.567619E+1,-4.395629E+1
8.403599E+2,-3.581327E+1,-4.390601E+1
8.405195E+2,-3.605563E+1,-4.417570E+1
8.395521E+2,-3.610336E+1,-4.429823E+1
8.416494E+2,-3.557586E+1,-4.422024E+1
8.395522E+2,-3.582031E+1,-4.436733E+1
8.406798E+2,-3.622088E+1,-4.437245E+1
8.405202E+2,-3.589602E+1,-4.423767E+1
8.401954E+2,-3.640883E+1,-4.457716E+1
8.398740E+2,-3.591573E+1,-4.450584E+1
8.405176E+2,-3.629663E+1,-4.463663E+1
8.395502E+2,-3.594465E+1,-4.493781E+1
8.418068E+2,-3.614846E+1,-4.488601E+1
8.401954E+2,-3.623158E+1,-4.464813E+1
8.408397E+2,-3.599620E+1,-4.485707E+1
8.413238E+2,-3.593517E+1,-4.487542E+1
8.416452E+2,-3.582906E+1,-4.524729E+1
8.416448E+2,-3.591547E+1,-4.524722E+1
8.405166E+2,-3.592940E+1,-4.527760E+1
8.408370E+2,-3.620879E+1,-4.556889E+1
8.400312E+2,-3.611298E+1,-4.565518E+1
8.409988E+2,-3.596947E+1,-4.559854E+1
8.395482E+2,-3.589175E+1,-4.563363E+1
8.411606E+2,-3.601999E+1,-4.538467E+1
8.403535E+2,-3.581298E+1,-4.603325E+1
8.397076E+2,-3.623616E+1,-4.590902E+1
8.406755E+2,-3.599085E+1,-4.584647E+1
8.408361E+2,-3.593953E+1,-4.605600E+1
8.418031E+2,-3.639985E+1,-4.574812E+1
8.405137E+2,-3.585519E+1,-4.597582E+1
8.419645E+2,-3.594851E+1,-4.610345E+1
8.419653E+2,-3.565340E+1,-4.611098E+1
8.411572E+2,-3.613476E+1,-4.642413E+1
8.416411E+2,-3.585519E+1,-4.652178E+1
8.413184E+2,-3.626756E+1,-4.621740E+1
8.401898E+2,-3.596360E+1,-4.655637E+1
8.418007E+2,-3.599924E+1,-4.678852E+1
8.411559E+2,-3.621716E+1,-4.665600E+1
8.409947E+2,-3.617835E+1,-4.679552E+1
8.416396E+2,-3.585868E+1,-4.690699E+1
