Name,Unit,Start_time,Time_increment,Length
General_Fz,N,1904/1/1 8:00:00,1.000000E-3,30000
General_COPx,mm,1904/1/1 8:00:00,1.000000E-3,30000
General_COPy,mm,1904/1/1 8:00:00,1.000000E-3,30000

General_Fz,General_COPx,General_COPy
8.104845E+2,-9.347984E+1,-1.366361E+1
8.111311E+2,-9.310725E+1,-1.359117E+1
8.103237E+2,-9.345251E+1,-1.354684E+1
8.114516E+2,-9.389867E+1,-1.339473E+1
8.109683E+2,-9.347778E+1,-1.370119E+1
8.109700E+2,-9.327866E+1,-1.329539E+1
8.091952E+2,-9.364497E+1,-1.352823E+1
8.114501E+2,-9.409565E+1,-1.373839E+1
8.120959E+2,-9.382378E+1,-1.356240E+1
8.114516E+2,-9.378947E+1,-1.349392E+1
8.109672E+2,-9.389126E+1,-1.361349E+1
8.124191E+2,-9.377695E+1,-1.347580E+1
8.120968E+2,-9.392733E+1,-1.331246E+1
8.125790E+2,-9.411356E+1,-1.350665E+1
8.111263E+2,-9.464064E+1,-1.383147E+1
8.127405E+2,-9.404923E+1,-1.355752E+1
8.112893E+2,-9.426965E+1,-1.352079E+1
8.130629E+2,-9.378966E+1,-1.362343E+1
8.132245E+2,-9.404890E+1,-1.349620E+1
8.119344E+2,-9.428199E+1,-1.327902E+1
8.122569E+2,-9.445162E+1,-1.335166E+1
8.145148E+2,-9.429394E+1,-1.306060E+1
8.125782E+2,-9.451704E+1,-1.360007E+1
8.114491E+2,-9.510960E+1,-1.315571E+1
8.124178E+2,-9.436342E+1,-1.339633E+1
8.120950E+2,-9.501702E+1,-1.315167E+1
8.125778E+2,-9.470219E+1,-1.358055E+1
8.141891E+2,-9.470625E+1,-1.364587E+1
8.132227E+2,-9.502377E+1,-1.325199E+1
8.127405E+2,-9.430824E+1,-1.329767E+1
8.135437E+2,-9.498761E+1,-1.357149E+1
8.125781E+2,-9.510719E+1,-1.309396E+1
8.125773E+2,-9.500369E+1,-1.333987E+1
8.130609E+2,-9.529667E+1,-1.320310E+1
8.122556E+2,-9.512742E+1,-1.309720E+1
8.130609E+2,-9.529667E+1,-1.320310E+1
8.122556E+2,-9.512742E+1,-1.309720E+1
8.125766E+2,-9.530582E+1,-1.343517E+1
8.130613E+2,-9.509425E+1,-1.320510E+1
8.122547E+2,-9.522887E+1,-1.334944E+1
8.127381E+2,-9.543407E+1,-1.330761E+1
8.117700E+2,-9.544257E+1,-1.347459E+1
8.111251E+2,-9.593231E+1,-1.316525E+1
8.111254E+2,-9.551857E+1,-1.332432E+1
8.108033E+2,-9.566780E+1,-1.308294E+1
8.112857E+2,-9.585191E+1,-1.344902E+1
8.111237E+2,-9.562161E+1,-1.366587E+1
8.104806E+2,-9.560242E+1,-1.325735E+1
8.095113E+2,-9.600047E+1,-1.361390E+1
8.098349E+2,-9.555968E+1,-1.361249E+1
8.098361E+2,-9.555978E+1,-1.327807E+1
8.106409E+2,-9.561182E+1,-1.355695E+1
8.098351E+2,-9.575898E+1,-1.336344E+1
8.099963E+2,-9.568028E+1,-1.341046E+1
8.095107E+2,-9.622363E+1,-1.370950E+1
8.077373E+2,-9.626573E+1,-1.369996E+1
8.087046E+2,-9.636169E+1,-1.359762E+1
8.087058E+2,-9.604657E+1,-1.342421E+1
8.077366E+2,-9.647353E+1,-1.378977E+1
8.070942E+2,-9.613486E+1,-1.321335E+1
8.080620E+2,-9.580998E+1,-1.328710E+1
8.069315E+2,-9.630994E+1,-1.351954E+1
8.080613E+2,-9.611364E+1,-1.329499E+1
8.083831E+2,-9.587923E+1,-1.363445E+1
8.061254E+2,-9.644878E+1,-1.347946E+1
8.061250E+2,-9.655103E+1,-1.358926E+1
8.046738E+2,-9.646658E+1,-1.365790E+1
8.046769E+2,-9.552258E+1,-1.341147E+1
8.058027E+2,-9.669366E+1,-1.333646E+1
8.064490E+2,-9.630254E+1,-1.333789E+1
8.061269E+2,-9.625270E+1,-1.326317E+1
8.046755E+2,-9.646896E+1,-1.324921E+1
8.054822E+2,-9.610410E+1,-1.336205E+1
8.037086E+2,-9.615588E+1,-1.335751E+1
8.058033E+2,-9.648547E+1,-1.334439E+1
8.051580E+2,-9.646307E+1,-1.370786E+1
8.029009E+2,-9.652384E+1,-1.365847E+1
8.035475E+2,-9.634593E+1,-1.330845E+1
8.035443E+2,-9.706250E+1,-1.366099E+1
8.024177E+2,-9.653193E+1,-1.355807E+1
8.029020E+2,-9.631294E+1,-1.350562E+1
8.020956E+2,-9.655715E+1,-1.347929E+1
8.027405E+2,-9.658592E+1,-1.347631E+1
8.030605E+2,-9.676566E+1,-1.406894E+1
8.032245E+2,-9.626417E+1,-1.342558E+1
8.022561E+2,-9.669427E+1,-1.352443E+1
8.025792E+2,-9.644050E+1,-1.353292E+1
